,state_name,state_name_normalized,city_name,city_name_normalized,place_type,population:normalized,wikidata,centroid
5,Alabama,alabama,Madison,madison,city,56933,Q79987,POINT (-86.7511427 34.6928726)
8,Alabama,alabama,Eufaula,eufaula,town,12882,Q79648,POINT (-85.1454876 31.8912717)
30,Alabama,alabama,Scottsboro,scottsboro,town,15578,Q79577,POINT (-86.0338765 34.6731323)
40,Alabama,alabama,Spanish Fort,spanish_fort,town,10049,Q79945,POINT (-87.9040269 30.6754503)
42,Alabama,alabama,Huntsville,huntsville,city,215006,Q79860,POINT (-86.5859011 34.729847)
50,Alabama,alabama,McCalla,mccalla,town,12965,Q3292729,POINT (-87.0141602 33.348723)
54,Alabama,alabama,Pelham,pelham,town,24318,Q79479,POINT (-86.8099884 33.285669)
56,Alabama,alabama,Prichard,prichard,town,19322,Q79609,POINT (-88.0788889 30.7387998)
57,Alabama,alabama,Cullman,cullman,town,18213,Q79484,POINT (-86.8435802 34.1748408)
65,Alabama,alabama,Leeds,leeds,town,12324,Q79869,POINT (-86.5427551 33.5439212)
67,Alabama,alabama,Forestdale,forestdale,town,10409,Q1268815,POINT (-86.8963819 33.5701054)
69,Alabama,alabama,Auburn,auburn,city,76143,Q79728,POINT (-85.4807825 32.6098566)
74,Alabama,alabama,Opelika,opelika,town,30995,Q80073,POINT (-85.3782795 32.6454116)
75,Alabama,alabama,Bessemer,bessemer,town,26019,Q79973,POINT (-86.954437 33.4017766)
86,Alabama,alabama,Gardendale,gardendale,town,16044,Q79679,POINT (-86.8127702 33.6601033)
90,Alabama,alabama,Florence,florence,town,40184,Q79743,POINT (-87.677251 34.79981)
93,Alabama,alabama,Birmingham,birmingham,city,200733,Q79867,POINT (-86.8024326 33.5206824)
108,Alabama,alabama,Daphne,daphne,town,27462,Q79461,POINT (-87.9036047 30.6035255)
124,Alabama,alabama,Calera,calera,town,16494,Q79942,POINT (-86.7505733 33.1035045)
132,Alabama,alabama,Northport,northport,town,31125,Q79870,POINT (-87.5771286 33.2292976)
133,Alabama,alabama,Athens,athens,town,25406,Q79439,POINT (-86.9711698 34.8045487)
139,Alabama,alabama,Jacksonville,jacksonville,town,14385,Q79412,POINT (-85.7612872 33.8137919)
153,Alabama,alabama,Jasper,jasper,town,14572,Q79766,POINT (-87.2775053 33.8312185)
154,Alabama,alabama,Decatur,decatur,city,57938,Q79750,POINT (-86.9838165 34.6060203)
162,Alabama,alabama,Tuscaloosa,tuscaloosa,city,99600,Q79580,POINT (-87.5675258 33.2095614)
165,Alabama,alabama,Troy,troy,town,17727,Q79862,POINT (-85.969951 31.8087678)
169,Alabama,alabama,Muscle Shoals,muscle_shoals,town,16275,Q79245,POINT (-87.6532615 34.7436791)
180,Alabama,alabama,Alabaster,alabaster,town,33284,Q79936,POINT (-86.8163773 33.2442813)
228,Alabama,alabama,Clay,clay,town,10291,Q79472,POINT (-86.6019841 33.6999039)
234,Alabama,alabama,Albertville,albertville,town,22386,Q79675,POINT (-86.2088669 34.2675937)
239,Alabama,alabama,Selma,selma,town,17971,Q79941,POINT (-87.0207473 32.4078632)
240,Alabama,alabama,Phenix City,phenix_city,town,38816,Q79252,POINT (-85.0007653 32.4709761)
241,Alabama,alabama,Alexander City,alexander_city,town,14843,Q79663,POINT (-85.9538532 32.944012)
244,Alabama,alabama,Saraland,saraland,town,16171,Q79259,POINT (-88.0705556 30.820742)
248,Alabama,alabama,Valley,valley,town,10529,Q79239,POINT (-85.1793852 32.8187406)
249,Alabama,alabama,Vestavia Hills,vestavia_hills,town,39102,Q79695,POINT (-86.7879492 33.4487989)
256,Alabama,alabama,Trussville,trussville,town,26123,Q79691,POINT (-86.6084342 33.6196266)
266,Alabama,alabama,Hoover,hoover,city,92606,Q79950,POINT (-86.8070484 33.3848933)
273,Alabama,alabama,Oxford,oxford,town,22069,Q79358,POINT (-85.8339391 33.6149211)
275,Alabama,alabama,Mobile,mobile,city,187041,Q79875,POINT (-88.0437509 30.6913462)
309,Alabama,alabama,Irondale,irondale,town,13497,Q79454,POINT (-86.7072102 33.5381601)
316,Alabama,alabama,Fayette,fayette,town,16321,Q79370,POINT (-87.8308522 33.6845539)
324,Alabama,alabama,Boaz,boaz,town,10107,Q79855,POINT (-86.1649421 34.1983281)
332,Alabama,alabama,Gadsden,gadsden,town,33945,Q79389,POINT (-86.0030251 34.0128323)
333,Alabama,alabama,Dothan,dothan,city,71072,Q79519,POINT (-85.3934375 31.2237285)
341,Alabama,alabama,Millbrook,millbrook,town,16564,Q79673,POINT (-86.3619163 32.4798575)
348,Alabama,alabama,Sylacauga,sylacauga,town,12578,Q79477,POINT (-86.2514099 33.170482)
354,Alabama,alabama,Helena,helena,town,20914,Q79499,POINT (-86.8436004 33.296224)
357,Alabama,alabama,Enterprise,enterprise,town,28711,Q79260,POINT (-85.8552161 31.3151708)
361,Alabama,alabama,Fairfield,fairfield,town,10000,Q79722,POINT (-86.9150283 33.4916836)
363,Alabama,alabama,Fairhope,fairhope,town,22477,Q79502,POINT (-87.9028458 30.5231647)
372,Alabama,alabama,Center Point,center_point,town,16406,Q80092,POINT (-86.6836001 33.6456583)
375,Alabama,alabama,Rainbow City,rainbow_city,town,10191,Q79710,POINT (-86.0414098 33.9549152)
378,Alabama,alabama,Talladega,talladega,town,15861,Q79975,POINT (-86.098631 33.4332833)
391,Alabama,alabama,Prattville,prattville,town,37781,Q79509,POINT (-86.4753174 32.4600136)
396,Alabama,alabama,Moody,moody,town,13170,Q67033,POINT (-86.4908168 33.5909365)
405,Alabama,alabama,Anniston,anniston,town,21564,Q79474,POINT (-85.8283224 33.6624824)
409,Alabama,alabama,Chelsea,chelsea,town,14982,Q67410,POINT (-86.6302625 33.3401108)
423,Alabama,alabama,Foley,foley,town,20335,Q79265,POINT (-87.6835974 30.4065868)
427,Alabama,alabama,Pell City,pell_city,town,12939,Q79584,POINT (-86.2860888 33.5862149)
434,Alabama,alabama,Hueytown,hueytown,town,16776,Q79257,POINT (-86.9966606 33.4512197)
437,Alabama,alabama,Homewood,homewood,town,26414,Q79700,POINT (-86.8084509 33.4737098)
440,Alabama,alabama,Fort Payne,fort_payne,town,14877,Q79653,POINT (-85.7196893 34.4442547)
457,Alabama,alabama,Montgomery,montgomery,city,200603,Q29364,POINT (-86.3090775 32.3777111)
462,Alabama,alabama,Ozark,ozark,town,14368,Q79212,POINT (-85.6405865 31.4584764)
463,Alabama,alabama,Mountain Brook,mountain_brook,town,22461,Q79814,POINT (-86.7556834 33.5019459)
464,Alabama,alabama,Gulf Shores,gulf_shores,town,15014,Q79669,POINT (-87.6893826 30.2711224)
467,Alabama,alabama,Hartselle,hartselle,town,15455,Q79242,POINT (-86.9352842 34.4434282)
478,Alabama,alabama,Russellville,russellville,town,10855,Q79929,POINT (-87.7300015 34.5041961)
483,Alabama,alabama,Tillmans Corner,tillmans_corner,town,17731,Q1268829,POINT (-88.21282339515447 30.581786079192888)
484,Alabama,alabama,Russellville,russellville,town,10855,Q79929,POINT (-87.72828284320155 34.5055223709013)
493,Alabama,alabama,Florence,florence,town,36721,,POINT (-87.64217414197616 34.80160945885112)
542,Alaska,alaska,Fairbanks,fairbanks,town,32515,Q79638,POINT (-147.716675 64.837845)
560,Alaska,alaska,Juneau,juneau,town,31000,Q29445,POINT (-134.4196751 58.3019613)
626,Alaska,alaska,Anchorage,anchorage,city,291247,Q39450,POINT (-149.894852 61.2163129)
650,Alaska,alaska,Badger,badger,town,19000,Q8239616,POINT (-147.4079881 64.8068915)
662,Arizona,arizona,Kingman,kingman,town,36958,Q79733,POINT (-114.0532996 35.1895921)
668,Arizona,arizona,San Luis,san_luis,town,40064,Q80018,POINT (-114.7741731 32.499227)
669,Arizona,arizona,Chino Valley,chino_valley,town,13020,Q985261,POINT (-112.45378 34.7575227)
678,Arizona,arizona,Eloy,eloy,town,19391,Q80072,POINT (-111.553493 32.7551703)
682,Arizona,arizona,Fountain Hills,fountain_hills,town,23435,Q31820343,POINT (-111.717361 33.6117105)
686,Arizona,arizona,Tempe,tempe,city,192838,Q51685,POINT (-111.940016 33.4255117)
688,Arizona,arizona,Gilbert,gilbert,city,279569,Q51684,POINT (-111.789037 33.3527632)
689,Arizona,arizona,Vail,vail,town,13604,,POINT (-110.711909 32.0477416)
691,Arizona,arizona,Lake Havasu City,lake_havasu_city,city,60511,Q79435,POINT (-114.3379972 34.4775296)
694,Arizona,arizona,Prescott,prescott,town,45827,Q79931,POINT (-112.468812 34.539984)
702,Arizona,arizona,Paradise Valley,paradise_valley,town,12658,Q983750,POINT (-111.9505123 33.5324295)
714,Arizona,arizona,Coolidge,coolidge,town,13218,Q80067,POINT (-111.517624 32.977839)
715,Arizona,arizona,Florence,florence,town,26785,Q845754,POINT (-111.387343 33.0314508)
731,Arizona,arizona,Apache Junction,apache_junction,town,42766,Q79829,POINT (-111.549577 33.4150485)
742,Arizona,arizona,El Mirage,el_mirage,town,35805,Q79434,POINT (-112.324486 33.6130338)
743,Arizona,arizona,Bullhead City,bullhead_city,town,42232,Q79432,POINT (-114.5627804 35.1449998)
746,Arizona,arizona,Show Low,show_low,town,11732,Q936839,POINT (-110.029832 34.2542084)
751,Arizona,arizona,Scottsdale,scottsdale,city,246068,Q49221,POINT (-111.926018 33.4942189)
761,Arizona,arizona,Queen Creek,queen_creek,city,87006,Q985299,POINT (-111.634158 33.2483858)
763,Arizona,arizona,Sun City West,sun_city_west,town,25806,Q1024100,POINT (-112.3498066 33.6691873)
769,Arizona,arizona,Fortuna Foothills,fortuna_foothills,town,28135,Q1439085,POINT (-114.4118901 32.6578355)
773,Arizona,arizona,Anthem,anthem,town,23190,Q589160,POINT (-112.1276627 33.8600714)
776,Arizona,arizona,Oro Valley,oro_valley,town,47070,Q986523,POINT (-110.955317 32.4000525)
782,Arizona,arizona,Sahuarita,sahuarita,town,25259,Q914860,POINT (-110.9556645 31.9575305)
783,Arizona,arizona,Tucson,tucson,city,550306,Q18575,POINT (-110.974847 32.2228765)
784,Arizona,arizona,Phoenix,phoenix,city,1675144,Q16556,POINT (-112.074141 33.4484367)
790,Arizona,arizona,Nogales,nogales,town,20768,Q79783,POINT (-110.936081 31.3402134)
798,Arizona,arizona,Mesa,mesa,city,515486,Q49261,POINT (-111.831455 33.4151005)
803,Arizona,arizona,Somerton,somerton,town,14902,Q79475,POINT (-114.709733 32.596586)
813,Arizona,arizona,Glendale,glendale,city,257125,Q51682,POINT (-112.185994 33.5386858)
820,Arizona,arizona,Surprise,surprise,city,167537,Q51687,POINT (-112.3681428 33.629247)
824,Arizona,arizona,Marana,marana,city,62302,Q762743,POINT (-111.211475 32.4483736)
833,Arizona,arizona,Payson,payson,town,16361,Q985250,POINT (-111.323026 34.2406479)
835,Arizona,arizona,Sun City,sun_city,town,37810,Q1006586,POINT (-112.281933 33.6290111)
838,Arizona,arizona,Sierra Vista,sierra_vista,town,45308,Q79891,POINT (-110.2742994 31.5647691)
840,Arizona,arizona,Casa Grande,casa_grande,city,70156,Q79889,POINT (-111.7536818 32.8772834)
842,Arizona,arizona,Maricopa,maricopa,city,79134,Q79877,POINT (-112.047755 33.058129)
855,Arizona,arizona,Prescott Valley,prescott_valley,town,42197,Q374697,POINT (-112.3338634 34.5950776)
861,Arizona,arizona,Sun Lakes,sun_lakes,town,14190,Q613472,POINT (-111.875416 33.2111623)
862,Arizona,arizona,Yuma,yuma,city,103559,Q79820,POINT (-114.6198088 32.7254216)
868,Arizona,arizona,Douglas,douglas,town,16534,Q79878,POINT (-109.5544851 31.3449858)
919,Arizona,arizona,Safford,safford,town,10129,Q79767,POINT (-109.7131818 32.8332254)
924,Arizona,arizona,Avondale,avondale,city,96196,Q79449,POINT (-112.349602 33.4355977)
925,Arizona,arizona,Goodyear,goodyear,city,121116,Q79457,POINT (-112.3853489 33.4672279)
926,Arizona,arizona,Chandler,chandler,city,282048,Q49272,POINT (-111.841185 33.3062031)
929,Arizona,arizona,Peoria,peoria,city,203252,Q51686,POINT (-112.237294 33.5806115)
933,Arizona,arizona,Flagstaff,flagstaff,city,76831,Q79842,POINT (-111.651822 35.1987522)
939,Arizona,arizona,Buckeye,buckeye,city,119007,Q986528,POINT (-112.583776 33.3703197)
940,Arizona,arizona,Cottonwood,cottonwood,town,12029,Q79463,POINT (-112.0272397 34.7475612)
958,Arizona,arizona,Saddlebrooke,saddlebrooke,town,12574,,POINT (-110.880573 32.5347527)
962,Arizona,arizona,Fort Mohave,fort_mohave,town,16190,Q5471708,POINT (-114.5978815 35.0175869)
963,Arizona,arizona,Estrella,estrella,town,21000,Q5401797,POINT (-112.4226468 33.3321719)
965,Arizona,arizona,New Kingman-Butler,new_kingman-butler,town,12907,Q914990,POINT (-114.0113698 35.2539883)
983,Arizona,arizona,San Tan Valley,san_tan_valley,city,106179,Q5241708,POINT (-111.5849201 33.1798079)
984,Arizona,arizona,Gold Canyon,gold_canyon,town,11404,Q2274785,POINT (-111.4570813 33.3528078)
990,Arizona,arizona,Verde Village,verde_village,town,12019,Q2734093,POINT (-111.9827558 34.6927484)
1022,Arkansas,arkansas,Sherwood,sherwood,town,23422,Q79681,POINT (-92.2243153 34.8150907)
1058,Arkansas,arkansas,Siloam Springs,siloam_springs,town,14141,Q80016,POINT (-94.5413695 36.1866289)
1081,Arkansas,arkansas,Van Buren,van_buren,town,23218,Q79696,POINT (-94.3431393 35.4424419)
1083,Arkansas,arkansas,Malvern,malvern,town,10867,Q79694,POINT (-92.8092694 34.3625823)
1096,Arkansas,arkansas,Harrison,harrison,town,12986,Q80314,POINT (-93.1076765 36.2297936)
1097,Arkansas,arkansas,Rogers,rogers,city,69908,Q79497,POINT (-94.1193816 36.334857)
1118,Arkansas,arkansas,Russellville,russellville,town,26014,Q79424,POINT (-93.1337856 35.2784173)
1129,Arkansas,arkansas,Texarkana,texarkana,city,65580,Q10381020,POINT (-94.0430937 33.4254259)
1130,Arkansas,arkansas,Little Rock,little_rock,city,202591,Q33405,POINT (-92.2896267 34.7465071)
1136,Arkansas,arkansas,Benton,benton,town,27077,Q79374,POINT (-92.586828 34.5645372)
1142,Arkansas,arkansas,Jonesboro,jonesboro,city,78576,Q61455,POINT (-90.7045297 35.8348088)
1144,Arkansas,arkansas,Paragould,paragould,town,24248,Q79386,POINT (-90.4973286 36.0584021)
1151,Arkansas,arkansas,Centerton,centerton,town,17792,Q79436,POINT (-94.2886875 36.3652679)
1159,Arkansas,arkansas,Mountain Home,mountain_home,town,12825,Q79376,POINT (-92.3801187 36.3361391)
1186,Arkansas,arkansas,Springdale,springdale,city,84161,Q79724,POINT (-94.1288142 36.1867442)
1187,Arkansas,arkansas,West Memphis,west_memphis,town,24520,Q80050,POINT (-90.1845388 35.1464797)
1189,Arkansas,arkansas,Fayetteville,fayetteville,city,93949,Q219526,POINT (-94.1574328 36.0625843)
1195,Arkansas,arkansas,Maumelle,maumelle,town,19251,Q79548,POINT (-92.4056858 34.856613)
1208,Arkansas,arkansas,Forrest City,forrest_city,town,15371,Q79403,POINT (-90.7898342 35.0081474)
1216,Arkansas,arkansas,Jacksonville,jacksonville,town,29094,Q79688,POINT (-92.1101458 34.8662005)
1227,Arkansas,arkansas,Arkadelphia,arkadelphia,town,10726,Q79468,POINT (-93.053784 34.1209292)
1266,Arkansas,arkansas,Bryant,bryant,town,13613,Q79427,POINT (-92.488348 34.5959045)
1273,Arkansas,arkansas,North Little Rock,north_little_rock,city,64591,Q79902,POINT (-92.2670941 34.769536)
1284,Arkansas,arkansas,Marion,marion,town,13752,Q79261,POINT (-90.19498 35.2129831)
1286,Arkansas,arkansas,Hot Springs,hot_springs,town,37930,Q79924,POINT (-93.0552437 34.5038393)
1288,Arkansas,arkansas,Cabot,cabot,town,23776,Q79423,POINT (-92.0165336 34.974532)
1292,Arkansas,arkansas,El Dorado,el_dorado,town,17756,Q79489,POINT (-92.6650144 33.2115087)
1297,Arkansas,arkansas,Searcy,searcy,town,20993,Q79709,POINT (-91.7362488 35.2506406)
1299,Arkansas,arkansas,Bentonville,bentonville,city,54164,Q818364,POINT (-94.208787 36.3728608)
1302,Arkansas,arkansas,Camden,camden,town,11965,Q79446,POINT (-92.8343294 33.5845582)
1315,Arkansas,arkansas,Magnolia,magnolia,town,10321,Q79562,POINT (-93.2393341 33.2670725)
1320,Arkansas,arkansas,Bella Vista,bella_vista,town,30104,Q815783,POINT (-94.2669727 36.4678036)
1350,Arkansas,arkansas,Conway,conway,city,55334,Q79853,POINT (-92.4398402 35.0891932)
1388,Arkansas,arkansas,Hot Springs Village,hot_springs_village,town,12807,Q2586340,POINT (-92.9983875 34.6795724)
1398,Arkansas,arkansas,Pine Bluff,pine_bluff,town,41253,Q80012,POINT (-92.004334 34.2228884)
1420,Arkansas,arkansas,Fort Smith,fort_smith,city,89142,Q79535,POINT (-94.4265011 35.3880338)
1428,Arkansas,arkansas,Blytheville,blytheville,town,13406,Q79401,POINT (-89.9045612 35.9283249)
1448,California,california,San Francisco,san_francisco,city,873965,Q62,POINT (-122.4075201 37.7879363)
1449,California,california,San Gabriel,san_gabriel,town,39718,Q953437,POINT (-118.1085554 34.0990995)
1451,California,california,Palo Alto,palo_alto,city,65364,Q47265,POINT (-122.1598465 37.4443293)
1452,California,california,Mountain View,mountain_view,city,82739,Q486860,POINT (-122.0832101 37.3893889)
1454,California,california,Redlands,redlands,city,68747,Q753830,POINT (-117.1827445 34.0550328)
1455,California,california,Santa Barbara,santa_barbara,city,91196,Q159288,POINT (-119.702667 34.4221319)
1458,California,california,Berkeley,berkeley,city,121363,Q484678,POINT (-122.272863 37.8708393)
1459,California,california,Loma Linda,loma_linda,town,23261,Q837113,POINT (-117.2610925 34.0537971)
1460,California,california,Campbell,campbell,town,41793,Q988721,POINT (-121.944881 37.2870626)
1462,California,california,Chico,chico,city,90316,Q432152,POINT (-121.8374777 39.7284945)
1466,California,california,Daly City,daly_city,city,101005,Q370925,POINT (-122.47267 37.6904826)
1486,California,california,Arcata,arcata,town,17231,Q631752,POINT (-124.08284 40.866517)
1494,California,california,Roseville,roseville,city,107158,Q491340,POINT (-121.2880059 38.7521235)
1497,California,california,Fortuna,fortuna,town,11208,Q509604,POINT (-124.156034 40.597407)
1510,California,california,Yuba City,yuba_city,city,66941,Q169948,POINT (-121.6169108 39.1404477)
1525,California,california,Eureka,eureka,town,26512,Q488702,POINT (-124.1707558 40.8018746)
1533,California,california,Linda,linda,town,21654,Q514215,POINT (-121.566054 39.1219439)
1537,California,california,Ukiah,ukiah,town,16036,Q837105,POINT (-123.2077861 39.1501662)
1542,California,california,Truckee,truckee,town,16729,Q506402,POINT (-120.1835765 39.3279454)
1543,California,california,Anderson,anderson,town,10418,Q491469,POINT (-122.2982544 40.4479345)
1548,California,california,Shasta Lake,shasta_lake,town,10228,Q986923,POINT (-122.3626507 40.6799638)
1549,California,california,McKinleyville,mckinleyville,town,15177,Q1915277,POINT (-124.1006205 40.9465152)
1563,California,california,Rocklin,rocklin,city,50131,Q984599,POINT (-121.2357828 38.7907339)
1571,California,california,Marysville,marysville,town,12327,Q950966,POINT (-121.5913516 39.1457247)
1573,California,california,Olivehurst,olivehurst,town,13656,Q2019996,POINT (-121.5517753 39.0953715)
1585,California,california,Susanville,susanville,town,16728,Q629584,POINT (-120.653006 40.4162842)
1586,California,california,Red Bluff,red_bluff,town,14539,Q546468,POINT (-122.235923 40.1784279)
1602,California,california,Corning,corning,town,10642,Q2997606,POINT (-122.179155 39.9276572)
1604,California,california,Oroville,oroville,town,13505,Q850972,POINT (-121.556359 39.5137752)
1608,California,california,Redding,redding,city,91582,Q495361,POINT (-122.391675 40.5863563)
1613,California,california,Clearlake,clearlake,town,14877,Q376246,POINT (-122.626372 38.9582307)
1618,California,california,Lincoln,lincoln,town,39566,Q966492,POINT (-121.29318 38.8915741)
1620,California,california,Blythe,blythe,town,18317,Q886915,POINT (-114.5937537 33.6134767)
1648,California,california,Davis,davis,city,66850,Q668546,POINT (-121.739005 38.5435526)
1650,California,california,Thousand Oaks,thousand_oaks,city,124207,Q208447,POINT (-118.8375937 34.1705609)
1651,California,california,Lynwood,lynwood,city,71061,Q849619,POINT (-118.2024154 33.924831)
1652,California,california,Cudahy,cudahy,town,24873,Q953506,POINT (-118.1835395 33.9620584)
1654,California,california,Highland,highland,city,51550,Q693577,POINT (-117.1807973 34.11213)
1655,California,california,Ladera Ranch,ladera_ranch,town,26170,Q3313468,POINT (-117.6384556 33.5520801)
1657,California,california,Camarillo,camarillo,city,62489,Q846040,POINT (-119.0383541 34.2176371)
1659,California,california,Hesperia,hesperia,city,99818,Q773516,POINT (-117.3046869 34.4220358)
1666,California,california,Kingsburg,kingsburg,town,11382,Q779614,POINT (-119.5538929 36.5138398)
1674,California,california,Santa Rosa,santa_rosa,city,174972,Q212991,POINT (-122.7141049 38.4404925)
1677,California,california,Corcoran,corcoran,town,23403,Q913487,POINT (-119.5603728 36.0981045)
1679,California,california,La Mesa,la_mesa,city,61121,Q850929,POINT (-117.0230839 32.7678288)
1683,California,california,Livingston,livingston,town,13058,Q986871,POINT (-120.723532 37.3868826)
1684,California,california,Ashland,ashland,town,21925,Q1006582,POINT (-122.1138531 37.6946528)
1685,California,california,Mill Valley,mill_valley,town,13323,Q846413,POINT (-122.5449763 37.9060368)
1686,California,california,Lake Elsinore,lake_elsinore,town,45033,Q948102,POINT (-117.3272615 33.6680772)
1688,California,california,Riverside,riverside,city,322424,Q49243,POINT (-117.374238 33.9824949)
1691,California,california,Galt,galt,town,23396,Q985262,POINT (-121.2999485 38.2546373)
1695,California,california,La Habra,la_habra,city,59264,Q948071,POINT (-117.9454867 33.9316066)
1696,California,california,Rancho Cucamonga,rancho_cucamonga,city,170714,Q495365,POINT (-117.575173 34.1033192)
1698,California,california,Spring Valley,spring_valley,town,30998,Q590828,POINT (-116.97138 32.7307741)
1699,California,california,San Dimas,san_dimas,town,35714,Q923845,POINT (-117.8069361 34.1065404)
1701,California,california,Windsor,windsor,town,25294,Q986852,POINT (-122.8163802 38.5471327)
1703,California,california,Tracy,tracy,city,98337,Q953409,POINT (-121.420139 37.7385507)
1707,California,california,Mountain House,mountain_house,town,24499,Q3473861,POINT (-121.542726 37.7832614)
1709,California,california,Twentynine Palms,twentynine_palms,town,28065,Q846582,POINT (-116.0543506 34.1356915)
1710,California,california,San Marcos,san_marcos,city,94833,Q506411,POINT (-117.1743395 33.1352995)
1711,California,california,Victorville,victorville,city,122225,Q495353,POINT (-117.2911565 34.5361067)
1717,California,california,Santa Clara,santa_clara,city,130365,Q159260,POINT (-121.955174 37.3541132)
1718,California,california,Half Moon Bay,half_moon_bay,town,12308,Q983652,POINT (-122.428586 37.4635519)
1719,California,california,Clayton,clayton,town,12265,Q948168,POINT (-121.9357878 37.9411668)
1721,California,california,Fillmore,fillmore,town,15027,Q985346,POINT (-118.9125093 34.3985613)
1723,California,california,Pacifica,pacifica,town,37327,Q925925,POINT (-122.4995234 37.5980374)
1724,California,california,Duarte,duarte,town,22165,Q927189,POINT (-117.9772873 34.1394513)
1726,California,california,Modesto,modesto,city,211266,Q204561,POINT (-120.9968892 37.6393419)
1731,California,california,Encinitas,encinitas,city,62007,Q532711,POINT (-117.2919818 33.0369867)
1732,California,california,South San Francisco,south_san_francisco,city,63632,Q927122,POINT (-122.4168664 37.6535403)
1733,California,california,Brea,brea,town,38585,Q302612,POINT (-117.888855 33.9170444)
1734,California,california,Rialto,rialto,city,99467,Q289661,POINT (-117.3703235 34.1064001)
1736,California,california,La Verne,la_verne,town,33316,Q985347,POINT (-117.7678355 34.1008426)
1738,California,california,Carson,carson,city,93805,Q494690,POINT (-118.2517547 33.8322043)
1740,California,california,National City,national_city,city,56173,Q430316,POINT (-117.0991967 32.6781085)
1743,California,california,Citrus Heights,citrus_heights,city,88890,Q658402,POINT (-121.2810611 38.7071247)
1744,California,california,Montebello,montebello,city,62968,Q664503,POINT (-118.111975 34.0159398)
1745,California,california,Corona,corona,city,150308,Q494707,POINT (-117.566444 33.8752945)
1746,California,california,Riverbank,riverbank,town,22678,Q1011120,POINT (-120.9354895 37.7360396)
1753,California,california,Laguna Hills,laguna_hills,town,32156,Q862679,POINT (-117.6882067 33.5948758)
1754,California,california,Exeter,exeter,town,11169,Q986815,POINT (-119.1420953 36.2961694)
1756,California,california,Fallbrook,fallbrook,town,32267,Q1279784,POINT (-117.2513896 33.3820654)
1759,California,california,Moreno Valley,moreno_valley,city,183571,Q494720,POINT (-117.2305791 33.9375177)
1761,California,california,Farmersville,farmersville,town,10397,Q986808,POINT (-119.206776 36.2977283)
1764,California,california,Alamo,alamo,town,15314,Q241598,POINT (-122.032184 37.8502033)
1769,California,california,Valley Center,valley_center,town,10087,Q2861838,POINT (-117.0341967 33.2183701)
1774,California,california,Coalinga,coalinga,town,17597,Q985263,POINT (-120.3601496 36.139678)
1776,California,california,Paso Robles,paso_robles,town,29793,Q586528,POINT (-120.6901319 35.6262618)
1777,California,california,California City,california_city,town,12659,Q732125,POINT (-117.959868 35.1259261)
1778,California,california,Burlingame,burlingame,town,27573,Q986867,POINT (-122.3473099 37.5780965)
1782,California,california,Oxnard,oxnard,city,207254,Q209338,POINT (-119.180381 34.1976308)
1783,California,california,North Fair Oaks,north_fair_oaks,town,14687,Q185972,POINT (-122.2017408 37.4757074)
1786,California,california,Rancho Santa Margarita,rancho_santa_margarita,city,50618,Q985344,POINT (-117.6029341 33.6408845)
1787,California,california,Arvin,arvin,town,19304,Q717385,POINT (-118.828431 35.209129)
1788,California,california,Alameda,alameda,city,77624,Q490744,POINT (-122.241635 37.7652076)
1790,California,california,Inglewood,inglewood,city,114914,Q621549,POINT (-118.353132 33.9562003)
1792,California,california,San Lorenzo,san_lorenzo,town,23452,Q2075078,POINT (-122.1244088 37.6810422)
1793,California,california,Pico Rivera,pico_rivera,city,64336,Q828706,POINT (-118.096735 33.9830688)
1795,California,california,San Ramon,san_ramon,city,75995,Q605472,POINT (-121.9544387 37.7648021)
1796,California,california,San Clemente,san_clemente,city,65526,Q675070,POINT (-117.6124179 33.4270275)
1797,California,california,Orange,orange,city,135070,Q491350,POINT (-117.850308 33.7872568)
1799,California,california,Los Banos,los_banos,town,35972,Q590932,POINT (-120.8505342 37.0592253)
1802,California,california,Hercules,hercules,town,26276,Q948140,POINT (-122.2885808 38.0171441)
1803,California,california,Reedley,reedley,town,24194,Q984609,POINT (-119.4511877 36.5963906)
1805,California,california,Glendora,glendora,city,50370,Q851041,POINT (-117.865339 34.1361187)
1806,California,california,Upland,upland,city,73379,Q747466,POINT (-117.6483876 34.09751)
1807,California,california,Mendota,mendota,town,11014,Q984601,POINT (-120.381557 36.7535486)
1813,California,california,Clovis,clovis,city,89316,Q303794,POINT (-119.7029194 36.8252277)
1815,California,california,Apple Valley,apple_valley,city,68886,Q621372,POINT (-117.1858759 34.5008311)
1816,California,california,Lemoore,lemoore,town,22916,Q986940,POINT (-119.7827122 36.3006495)
1818,California,california,Dublin,dublin,city,64826,Q837109,POINT (-121.9357918 37.7021521)
1819,California,california,San Juan Capistrano,san_juan_capistrano,town,34839,Q923780,POINT (-117.6625509 33.5016932)
1822,California,california,Rancho Palos Verdes,rancho_palos_verdes,town,41754,Q180226,POINT (-118.3707683 33.7483311)
1824,California,california,La Puente,la_puente,town,41526,Q475724,POINT (-117.953097 34.0280619)
1826,California,california,Bay Point,bay_point,town,21349,Q812085,POINT (-121.9578477 38.0270429)
1827,California,california,Avenal,avenal,town,16837,Q790415,POINT (-120.1290272 36.0041223)
1828,California,california,Arroyo Grande,arroyo_grande,town,18441,Q703206,POINT (-120.5785796 35.1235374)
1830,California,california,Beverly Hills,beverly_hills,town,34979,Q127856,POINT (-118.3963062 34.0696501)
1831,California,california,Delano,delano,city,53819,Q775868,POINT (-119.247053 35.7688425)
